State,County,TotalPop
Georgia,Jenkins County,8929
Georgia,Johnson County,9800
Georgia,Jones County,28540
Georgia,Lamar County,18282
Georgia,Lanier County,10388
Georgia,Laurens County,47451
Georgia,Lee County,29216
Georgia,Liberty County,62120
Georgia,Lincoln County,7768
Georgia,Long County,17857
Georgia,Lowndes County,113941
Georgia,Lumpkin County,31567
Georgia,McDuffie County,21488
Georgia,McIntosh County,14061
Georgia,Macon County,13675
Georgia,Madison County,28600
Georgia,Marion County,8558
Georgia,Meriwether County,21152
Georgia,Miller County,5884
Georgia,Mitchell County,22574
Georgia,Monroe County,26795
Georgia,Montgomery County,8962
Georgia,Morgan County,18013
Georgia,Murray County,39444
Georgia,Muscogee County,198647
Georgia,Newton County,105042
Georgia,Oconee County,35972
Georgia,Oglethorpe County,14654
Georgia,Paulding County,152399
Georgia,Peach County,27027
Georgia,Pickens County,30343
Georgia,Pierce County,19141
Georgia,Pike County,17919
Georgia,Polk County,41444
Georgia,Pulaski County,11396
Georgia,Putnam County,21430
Georgia,Quitman County,2140
Georgia,Rabun County,16354
Georgia,Randolph County,7206
Georgia,Richmond County,201568
Georgia,Rockdale County,88482
Georgia,Schley County,5168
Georgia,Screven County,14037
Georgia,Seminole County,8549
Georgia,Spalding County,64192
Georgia,Stephens County,25625
Georgia,Stewart County,5832
Georgia,Sumter County,30687
Georgia,Talbot County,6423
Georgia,Taliaferro County,1844
Georgia,Tattnall County,25402
Georgia,Taylor County,8267
Georgia,Telfair County,16339
Georgia,Terrell County,8978
Georgia,Thomas County,44909
Georgia,Tift County,40531
Georgia,Toombs County,27160
Georgia,Towns County,11173
Georgia,Treutlen County,6752
Georgia,Troup County,69433
Georgia,Turner County,8036
Georgia,Twiggs County,8323
Georgia,Union County,22262
Georgia,Upson County,26241
Georgia,Walker County,68609
Georgia,Walton County,88695
Georgia,Ware County,35688
Georgia,Warren County,5410
Georgia,Washington County,20506
Georgia,Wayne County,29833
Georgia,Webster County,2627
Georgia,Wheeler County,7952
Georgia,White County,28509
Georgia,Whitfield County,103963
Georgia,Wilcox County,8896
Georgia,Wilkes County,9905
Georgia,Wilkinson County,9147
Georgia,Worth County,20809
Hawaii,Hawaii County,196325
Hawaii,Honolulu County,990060
Hawaii,Kalawao County,86
Hawaii,Kauai County,71093
Hawaii,Maui County,164094
Idaho,Ada County,435117
Idaho,Adams County,3946
Idaho,Bannock County,84113
Idaho,Bear Lake County,5942
Idaho,Benewah County,9050
Idaho,Bingham County,45369
Idaho,Blaine County,21583
Idaho,Boise County,6968
Idaho,Bonner County,41855
Idaho,Bonneville County,110404
Idaho,Boundary County,11323
Idaho,Butte County,2613
Idaho,Camas County,886
Idaho,Canyon County,207027
Idaho,Caribou County,6862
Idaho,Cassia County,23472
Idaho,Clark County,1055
Idaho,Clearwater County,8533
Idaho,Custer County,4141
Idaho,Elmore County,26232
Idaho,Franklin County,13120
Idaho,Fremont County,12889
Idaho,Gem County,16850
Idaho,Gooding County,15110
Idaho,Idaho County,16275
Idaho,Jefferson County,27410
Idaho,Jerome County,23039
Idaho,Kootenai County,150128
Idaho,Latah County,38697
Idaho,Lemhi County,7755
Idaho,Lewis County,3824
Idaho,Lincoln County,5296
Idaho,Madison County,38241
Idaho,Minidoka County,20448
Idaho,Nez Perce County,40014
Idaho,Oneida County,4284
Idaho,Owyhee County,11384
Idaho,Payette County,22839
Idaho,Power County,7667
Idaho,Shoshone County,12490
Idaho,Teton County,10776
Idaho,Twin Falls County,82248
Idaho,Valley County,10104
Idaho,Washington County,9996
Illinois,Adams County,66787
Illinois,Alexander County,6776
Illinois,Bond County,17034
Illinois,Boone County,53638
Illinois,Brown County,6791
Illinois,Bureau County,33619
Illinois,Calhoun County,4897
Illinois,Carroll County,14704
Illinois,Cass County,12880
Illinois,Champaign County,207946
Illinois,Christian County,33562
Illinois,Clark County,15924
